sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
MDX016-NCJD-19BV-56-DNA-D21-20200707.D21.R1	Faeces	Ciconiiformes	DC	Carnivorous	Wader	625824231	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-57-DNA-D22-20200707.D22.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	661840891	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-58-DNA-D23-20200707.D23.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	664236708	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-59-DNA-D24-20200707.D24.R1	Faeces	Strigiformes	DC	Carnivorous	Raptor	81750412	Raptor-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-60-DNA-D25-20200707.D25.R1	Faeces	Strigiformes	DC	Carnivorous	Raptor	520103560	Raptor-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-200-DNA-D26-20200707.D26.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	610975568	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-201-DNA-D27-20200707.D27.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	604881791	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-202-DNA-D28-20200707.D28.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	613318905	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-203-DNA-D29-20200707.D29.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	687120716	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-204-DNA-D30-20200707.D30.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	677226888	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-205-DNA-D31-20200707.D31.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	678976899	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-206-DNA-D32-20200707.D32.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	755270793	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-207-DNA-D33-20200707.D33.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	820259546	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-208-DNA-D34-20200707.D34.R1	Pharyngeal_swab	Ciconiiformes	DC	Carnivorous	Wader	667071669	Wader-Carnivorous	Pharyngeal_swab
